edicao,pergunta_enunciado,dimensao_1,categoria_1,dimensao_2,categoria_2,respondentes,total_no_grupo,participacao_pct
2023-2024,R19,genero,Feminino,nivel,Sênior,307,943,32.5557
2023-2024,R19,genero,Feminino,nivel,Pleno,337,943,35.737
2023-2024,R19,genero,Feminino,nivel,Júnior,299,943,31.7073
2023-2024,R19,genero,Masculino,nivel,Júnior,743,2896,25.6561
2023-2024,R19,genero,Masculino,nivel,Sênior,1106,2896,38.1906
2023-2024,R19,genero,Masculino,nivel,Pleno,1047,2896,36.1533
2023-2024,R19,genero,Outro,nivel,Pleno,4,7,57.1429
2023-2024,R19,genero,Outro,nivel,Sênior,2,7,28.5714
2023-2024,R19,genero,Outro,nivel,Júnior,1,7,14.2857
2023-2024,R19,genero,Prefiro não informar,nivel,Pleno,4,11,36.3636
2023-2024,R19,genero,Prefiro não informar,nivel,Sênior,4,11,36.3636
2023-2024,R19,genero,Prefiro não informar,nivel,Júnior,3,11,27.2727
2024-2025,R19,genero,Feminino,nivel,Pleno,365,942,38.7473
2024-2025,R19,genero,Feminino,nivel,Sênior,335,942,35.5626
2024-2025,R19,genero,Feminino,nivel,Júnior,242,942,25.69
2024-2025,R19,genero,Masculino,nivel,Sênior,1228,2857,42.9821
2024-2025,R19,genero,Masculino,nivel,Júnior,623,2857,21.8061
2024-2025,R19,genero,Masculino,nivel,Pleno,1006,2857,35.2118
2024-2025,R19,genero,Outro,nivel,Sênior,3,5,60.0
2024-2025,R19,genero,Outro,nivel,Pleno,2,5,40.0
2024-2025,R19,genero,Prefiro não informar,nivel,Sênior,6,12,50.0
2024-2025,R19,genero,Prefiro não informar,nivel,Pleno,3,12,25.0
2024-2025,R19,genero,Prefiro não informar,nivel,Júnior,3,12,25.0
2025-2026,R19,genero,Feminino,nivel,Especialista/Staff+,70,567,12.3457
2025-2026,R19,genero,Feminino,nivel,Júnior,146,567,25.7496
2025-2026,R19,genero,Feminino,nivel,Pleno,173,567,30.5115
2025-2026,R19,genero,Feminino,nivel,Sênior,178,567,31.3933
2025-2026,R19,genero,Masculino,nivel,Sênior,675,1917,35.2113
2025-2026,R19,genero,Masculino,nivel,Pleno,599,1917,31.2467
2025-2026,R19,genero,Masculino,nivel,Júnior,367,1917,19.1445
2025-2026,R19,genero,Masculino,nivel,Especialista/Staff+,276,1917,14.3975
2025-2026,R19,genero,Outro,nivel,Sênior,3,7,42.8571
2025-2026,R19,genero,Outro,nivel,Pleno,1,7,14.2857
2025-2026,R19,genero,Outro,nivel,Especialista/Staff+,1,7,14.2857
2025-2026,R19,genero,Outro,nivel,Júnior,2,7,28.5714
2025-2026,R19,genero,Prefiro não informar,nivel,Sênior,2,9,22.2222
2025-2026,R19,genero,Prefiro não informar,nivel,Júnior,3,9,33.3333
2025-2026,R19,genero,Prefiro não informar,nivel,Especialista/Staff+,2,9,22.2222
2025-2026,R19,genero,Prefiro não informar,nivel,Pleno,2,9,22.2222
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,173,1111,15.5716
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,148,1111,13.3213
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,181,1111,16.2916
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,76,1111,6.8407
2023-2024,R19,genero,Feminino,faixa_salarial,Acima de R$ 40.001/mês,11,1111,0.9901
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,18,1111,1.6202
2023-2024,R19,genero,Feminino,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,95,1111,8.5509
