edicao,pergunta_enunciado,dimensao,categoria,respondentes,total_validos,participacao_pct
2023-2024,R17,situacao_trabalho,Empregado (CLT),3604,5293,68.0899
2023-2024,R17,situacao_trabalho,Servidor Público,146,5293,2.7584
2023-2024,R17,situacao_trabalho,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,116,5293,2.1916
2023-2024,R17,situacao_trabalho,Prefiro não informar,10,5293,0.1889
2023-2024,R17,situacao_trabalho,"Desempregado, buscando recolocação",361,5293,6.8203
2023-2024,R17,situacao_trabalho,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,64,5293,1.2091
2023-2024,R17,situacao_trabalho,Trabalho na área Acadêmica/Pesquisador,63,5293,1.1903
2023-2024,R17,situacao_trabalho,Somente Estudante (graduação),78,5293,1.4736
2023-2024,R17,situacao_trabalho,Freelancer,51,5293,0.9635
2023-2024,R17,situacao_trabalho,Somente Estudante (pós-graduação),28,5293,0.529
2023-2024,R17,situacao_trabalho,Empreendedor ou Empregado (CNPJ),555,5293,10.4855
2023-2024,R17,situacao_trabalho,Estagiário,207,5293,3.9108
2023-2024,R17,situacao_trabalho,Desempregado e não estou buscando recolocação,10,5293,0.1889
2024-2025,R17,situacao_trabalho,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,130,5215,2.4928
2024-2025,R17,situacao_trabalho,"Desempregado, buscando recolocação",205,5215,3.931
2024-2025,R17,situacao_trabalho,Estagiário,186,5215,3.5666
2024-2025,R17,situacao_trabalho,Servidor Público,124,5215,2.3778
2024-2025,R17,situacao_trabalho,Somente Estudante (graduação),68,5215,1.3039
2024-2025,R17,situacao_trabalho,Somente Estudante (pós-graduação),25,5215,0.4794
2024-2025,R17,situacao_trabalho,Trabalho na área Acadêmica/Pesquisador,56,5215,1.0738
2024-2025,R17,situacao_trabalho,Empreendedor ou Empregado (CNPJ),494,5215,9.4727
2024-2025,R17,situacao_trabalho,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,77,5215,1.4765
2024-2025,R17,situacao_trabalho,Freelancer,41,5215,0.7862
2024-2025,R17,situacao_trabalho,Prefiro não informar,16,5215,0.3068
2024-2025,R17,situacao_trabalho,Empregado (CLT),3782,5215,72.5216
2024-2025,R17,situacao_trabalho,Desempregado e não estou buscando recolocação,11,5215,0.2109
2025-2026,R17,situacao_trabalho,Prefiro não informar,18,3494,0.5152
2025-2026,R17,situacao_trabalho,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,66,3494,1.889
2025-2026,R17,situacao_trabalho,Trabalho na área Acadêmica/Pesquisador,44,3494,1.2593
2025-2026,R17,situacao_trabalho,Desempregado e não estou buscando recolocação,10,3494,0.2862
2025-2026,R17,situacao_trabalho,Estagiário,126,3494,3.6062
2025-2026,R17,situacao_trabalho,Somente Estudante (graduação),34,3494,0.9731
2025-2026,R17,situacao_trabalho,Somente Estudante (pós-graduação),22,3494,0.6297
