edicao,pergunta_enunciado,dimensao,categoria,mencoes,respondentes_pergunta,mencoes_pct
2023-2024,R20,linguagem_preferida,Java,4,3750,0.11
2023-2024,R20,linguagem_preferida,SQL,74,3750,1.97
2023-2024,R20,linguagem_preferida,Python,3299,3750,87.97
2023-2024,R20,linguagem_preferida,JavaScript,1,3750,0.03
2023-2024,R20,linguagem_preferida,DAX/M,8,3750,0.21
2023-2024,R20,linguagem_preferida,C/C++/C#,19,3750,0.51
2023-2024,R20,linguagem_preferida,Rust,29,3750,0.77
2023-2024,R20,linguagem_preferida,R,228,3750,6.08
2023-2024,R20,linguagem_preferida,Go,3,3750,0.08
2023-2024,R20,linguagem_preferida,Scala,53,3750,1.41
2024-2025,R20,linguagem_preferida,Scala,39,3423,1.14
2024-2025,R20,linguagem_preferida,SQL,73,3423,2.13
2024-2025,R20,linguagem_preferida,DAX/M,2,3423,0.06
2024-2025,R20,linguagem_preferida,Python,3040,3423,88.81
2024-2025,R20,linguagem_preferida,JavaScript,1,3423,0.03
2024-2025,R20,linguagem_preferida,Go,10,3423,0.29
2024-2025,R20,linguagem_preferida,C/C++/C#,20,3423,0.58
2024-2025,R20,linguagem_preferida,R,186,3423,5.43
2024-2025,R20,linguagem_preferida,Rust,25,3423,0.73
2025-2026,R20,linguagem_preferida,JavaScript,4,2095,0.19
2025-2026,R20,linguagem_preferida,R,294,2095,14.03
2025-2026,R20,linguagem_preferida,Scala,70,2095,3.34
2025-2026,R20,linguagem_preferida,C/C++/C#,49,2095,2.34
2025-2026,R20,linguagem_preferida,DAX/M,19,2095,0.91
2025-2026,R20,linguagem_preferida,SQL,1763,2095,84.15
2025-2026,R20,linguagem_preferida,Python,1928,2095,92.03
2025-2026,R20,linguagem_preferida,Java,5,2095,0.24
2025-2026,R20,linguagem_preferida,Rust,35,2095,1.67
2025-2026,R20,linguagem_preferida,Go,6,2095,0.29
